字符串序号	字号大小	简体中文	英语	西班牙语	法语	意大利语	俄语	德语	日语	韩语	土耳其语	乌克兰语	结束列
208	\t	Z轴电机异常，请检查电机或接线	Abnormal Z-axis motor. Please troubleshoot the motor or wiring.	Motor del eje Z anormal. Solucione el problema del motor o del cableado.	Moteur de l’axe Z anormal. Dépannez le moteur ou le câblage.	Anomali motore asse Z. Seguire la procedura di risoluzione dei problemi per il motore o il cablaggio.	Сбой двигателя оси Z. Устраните неисправность двигателя или проводки.	Abnormaler Motor der Z-Achse. Bitte beheben Sie die Probleme beim Motor und der Verkabelung (das Gerät muss ausgeschaltet sein).	Z軸モーターの異常です。モーターまたは配線のトラブルシューティングを行ってください。	비정상적인 Z축 모터. 모터 또는 배선 문제를 해결하세요.	Z ekseni motor arızası. Motor veya kablolama sorunlarını giderin (cihaz kapalıyken).	Збій двигуна осі Z. Усуньте несправність двигуна або проводки.	-
209	\t	X轴加速度计异常	Abnormal X-axis accelerometer	Acelerómetro del eje X defectuoso	Accéléromètre de l'axe X défectueux	Anomalia nell'accelerometro dell'asse X.	Ошибка акселерометра оси Z.	Fehlerhafter Beschleunigungsmesser der X-Achse	X軸の加速度計に異常があります。	비정상적인 X축 가속도계	X ekseni ivmeölçer hatası.	Ошибка акселерометра осі Z.	-
210	\t	X轴加速度计异常，请检查加速度计和接线	Abnormal X-axis accelerometer. Please troubleshoot the accelerometer and wiring.	Acelerómetro del eje X anormal. Solucione el problema del acelerómetro y del cableado.	Accéléromètre de l’axe X anormal. Dépannez l’accéléromètre ou le câblage.	Anomalia accelerometro asse X. Seguire la procedura di risoluzione dei problemi per l'accelerometro e il cablaggio.	Сбой акселерометра оси X. Устраните неисправность акселерометра и проводки.	Abnormaler Beschleunigungsmesser der X-Achse. Bitte beheben Sie die Probleme beim Beschleunigungsmesser und der Verkabelung.	X 軸加速度センサーの異常です。加速度センサーと配線のトラブルシューティングを行ってください。	비정상적인 X축 가속도계. 가속도계와 배선을 문제 해결해 주세요.	X ekseninde ivmeölçer hatası. Lütfen ivmeölçer ve kablolama ile ilgili sorunları giderin (cihaz kapalıyken).	Збій акселерометра осі X. Усуньте несправність акселерометра та проводки.	-
211	\t	Y轴加速度计异常	Abnormal Y-axis accelerometer	Acelerómetro del eje Y anómalo	Accéléromètre de l'axe Y anormal	Anomalia nell'accelerometro dell'asse Y.	Ошибка акселерометра оси Y.	Fehlerhafter Beschleunigungsmesser der Y-Achse	Y軸の加速度計に異常があります。	비정상적인 Y축 가속도계	Y ekseni ivmeölçer hatası.	Помилка осі акселерометра Y.	-
212	\t	Y轴加速度计异常，请检查加速度计和接线	Abnormal Y-axis accelerometer. Please troubleshoot the accelerometer and wiring.	Acelerómetro del eje Y anormal. Solucione el problema del acelerómetro y del cableado.	Accéléromètre de l’axe Y anormal. Dépannez l’accéléromètre ou le câblage.	Anomalia accelerometro asse Y. Seguire la procedura di risoluzione dei problemi per l'accelerometro e il cablaggio.	Сбой акселерометра оси Y. Устраните неисправность акселерометра и проводки.	Abnormaler Beschleunigungsmesser der Y-Achse. Bitte beheben Sie die Probleme beim Beschleunigungsmesser und der Verkabelung.	Y軸加速度センサーの異常です。加速度センサーと配線のトラブルシューティングを行ってください。	비정상적인 Y축 가속도계. 가속도계와 배선 문제를 해결하세요.	Y ekseninde ivmeölçer hatası. Lütfen ivmeölçer ve kablolama ile ilgili sorunları giderin (cihaz kapalıyken).	Збій акселерометра осі Y. Усуньте несправність акселерометра та проводки.	-
213	\t	调平传感器异常	Abnormal leveling sensor	Sensor de nivelación anormal	Capteur de nivellement anormal	Anomalia nel sensore di livellamento.	Ошибка датчика выравнивания	Fehlerhafter Nivellierungssensor	レベリングセンサーに異常があります。	비정상적인 레벨링 센서	Seviyelendirme Sensörü Hatası	Помилка датчика вирівнювання	-
214	\t	调平异常，请检查调平传感器和接线	Anomaly in leveling. Please troubleshoot the leveling sensor and wiring.	Anomalía en la nivelación. Solucione el problema del sensor de nivelación y del cableado.	Anomalie de nivellement. Dépannez le capteur de nivellement et le câblage.	Anomalia livellamento. Seguire la procedura di risoluzione dei problemi per il sensore di livellamento e il cablaggio.	Сбой при выравнивании. Устраните неисправность датчика выравнивания и проводки.	Anomalie in der Nivellierung. Bitte beheben Sie die Probleme beim Nivelliersensor und der Verkabelung.	レベリングの異常です。レベリングセンサーと配線のトラブルシューティングを行ってください。	레벨링에 이상이 있습니다. 레벨링 센서와 배선을 문제 해결해 주세요.	Seviyeleme hatası. Seviyeleme sensörü ve kablo tesisatındaki sorunları giderin (cihaz kapalıyken).	Збій при вирівнюванні. Усуньте несправність датчика вирівнювання та проводки.	-
215	\t	进退料操作异常	Anomaly in extrusion	Anomalía de extrusión	Anomalie d'extrusion	Anomalia durante l'estrusione.	Ошибка экструдирования	Fehler beim Extrudieren	押し出しに異常があります。	압출 문제발생	Ekstrüzyon sırasında hata	Помилка екструдування	-
216	\t	喷嘴温度低，开始加热	Low nozzle temperature, heating up now	Baja temperatura de la boquilla, calentando ahora	Basse température de la buse, en cours de chauffe.	Temperatura dell'ugello troppo bassa, riscaldamento in corso.	Сопло слишком холодное. Нагреваем…	Niedrige Düsentemperatur, heizt jetzt auf	ノズル温度が低いです。加熱を開始してください。	노즐 온도가 낮습니다. 지금 가열 중입니다.	Düşük nozul sıcaklığı,şimdi ısınıyor	Сопло надто холодне. Нагріваємо…	-
217	\t	进料异常	Anomaly in loading	Anomalía de carga	Anomalie pendant le chargement	Anomalia nel caricamento del filamento.	-	Fehler beim Laden	ローディングに異常があります。	로딩 중 문제발생	Filament Yükleme hatası	Помилка завантаження нитки.	-
218	\t	耗材异常，请重新加载耗材	Abnormal filament. Please load again.	Filamento anómalo. Vuelva a cargar.	Filament anormal. Recharger à nouveau.	Anomalia del filamento. Caricarlo di nuovo.	Ошибка филамента. Заправьте снова.	Ungewöhnliches Filament. Bitte erneut laden.	フィラメントに異常があります。再ロードしてください。	비정상적인 필라멘트입니다. 다시 로드하세요.	Filamentte bir sorun var. Lütfen yeniden yükleyin.	Помилка філаменту. Заправити знову.	-
219	\t	主板风扇异常	Abnormal mainboard fan.	Ventilador de la placa base anómalo.	Ventilateur de la carte mère anormal.	Anomalia nella ventola della scheda madre.	Ошибка вентилятора платы управления	Unregelmäßiger Mainboard-Lüfter.	メインボードファンに異常があります。	비정상적인 메인보드 팬.	Ana kart fan hatası.	Помилка вентилятора плати керування	-
220	\t	主板风扇异常，请检查主板风扇和接线	Abnormal mainboard fan. Please troubleshoot the mainboard fan and wiring.	Ventilador de placa base anómalo. Solucione el problema del ventilador de la placa base y del cableado.	Ventilateur de la carte mère anormal. Dépanner le ventilateur de la carte mère et le câblage.	Anomalia nella ventola della scheda madre. Controllare la ventola e i cavi (con dispositivo spento).	Ошибка вентилятора платы управления. Проверьте его исправность и правильность подключения.	Unregelmäßiger Mainboard-Lüfter. Bitte untersuchen Sie den Mainboard-Lüfter und die Verkabelung.	メインボードファンに異常があります。メインボードファンと配線を確認してください	비정상적인 메인보드 팬입니다. 메인보드 팬과 배선을 문제 해결해 주세요.	Ana kart fan hatası.Ana kart fanını ve kablolarını kontrol edin.	Помилка вентилятора плати керування. Перевірте його правильність і правильність підключення.	-
221	\t	喉管风扇异常	Abnormal heat break cooling fan	Ventilador del heat break anómalo.	Ventilateur du heatbreak anormal.	Anomalia nella ventola dell'heat brake.	Ошибка вентилятора термобарьера	Anomalie beim Lüfter für die Wärmebremse	ヒートブレーク冷却ファンに異常があります。	비정상적인 열 브레이크 냉각 팬	Isı kırıcı soğutma fanında bir sorun var	Помилка вентилятора термобар'єру	-
222	\t	喉管风扇异常，请检查喉管风扇和接线 	Abnormal heat break cooling fan. Please troubleshoot the heat break cooling fan and wiring.	Ventilador del heatbreak defectuoso. Por favor, solucione el problema del ventilador y/o del cableado.	Ventilateur du heatbreak défectueux. Dépanner le ventilateur et/ou le câblage.	Anomalia nella ventola dell'heat brake. Controllare la ventola e i cavi (con dispositivo spento).	Ошибка вентилятора термобарьера. Проверьте его исправность и правильность подключения.	Anomalie beim Lüfter für die Wärmebremse. Bitte überprüfen Sie das Gebläse und die Verkabelung der Wärmebremse.	ヒートブレーク冷却ファンに異常があります。ヒートブレーク冷却ファンと配線を確認してください	비정상적인 히트 브레이크 냉각 팬. 히트 브레이크 냉각 팬과 배선을 문제 해결해 주세요.	Isı kırıcı soğutma fanında bir sorun var. Soğutma fanını ve kablolarını kontrol edin.	Помилка вентилятора термобар'єру. Перевірте його правильність і правильність підключення.	-
223	\t	模型风扇异常	Abnormal model fan	Ventilador de modelo anómalo	Ventilateur de modèle anormal	Anomalia nella ventola del modello.	Ошибка вентилятора охлаждения модели	Fehler beim Modelllüfter	モデルファンに異常があります。	비정상적인 모델 팬	Model Fanında Hata	Помилка вентилятора охолодження моделі	-
224	\t	模型风扇异常，请检查模型风扇和接线	Abnormal model fan. Please troubleshoot the model fan and wiring.	Ventilador de modelo anormal. Solucione el problema del ventilador del modelo y/o el cableado.	Ventilateur de modèle anormal. Dépanner le ventilateur et/ou le câblage.	Anomalia nella ventola del modello. Controllare la ventola e i cavi (con dispositivo spento).	Ошибка вентилятора охлаждения модели. Проверьте его исправность и правильность подключения.	Fehler beim Modelllüfter. Bitte überprüfen Sie das Gebläsemodell und die Verkabelung auf Fehler.	モデルファンに異常があります。モデルファンと配線を確認してください。	비정상적인 모델 팬입니다. 모델 팬과 배선을 문제 해결해 주세요.	Model Fanında Hata. Model fanını ve kablolarını kontrol edin.	Помилка вентилятора охолодження моделі. Перевірте його правильність і правильність підключення.	-
225	\t	导入本地	Import	Importación	Importation	Importa	Импорт	Importieren	ローカルのインポート	입력	İçe Aktar	Імпорт	-
226	\t	请在进退料前加热	Please preheat before loading or unloading.	Por favor, precaliente antes de cargar o descargar.	Veuillez préchauffer l'appareil avant de le charger ou de le décharger.	Esegui il pre-riscaldamento prima di caricare o scaricare	Нагрейте перед заправкой или извлечением.	Bitte heizen Sie vor dem Be- und Entladen vor.	フィラメントの挿入/取り出し前に予熱してください	로딩 또는 언로딩 하기 전에 예열해 주세요.	Yükleme veya boşaltma işleminden önce lütfen ön ısıtma yapınız.	Нагрійте перед заправкою або видаленням.	-
227	\t	正在复制到本地	Copying to local drive.	Copiando al disco local.	Copie sur le disque local.	Copia nel disco locale in corso	Копирование во внутреннюю память.	Kopieren auf lokales Laufwerk.	ローカルドライブにコピーしています。	로컬 드라이브에 복사 중.	Yerel sürücüye kopyalanıyor.	Копіювання у внутрішню пам'ять.	-
228	\t	用六角扳手取下图中的三颗螺丝	Use a hex key to remove the three screws shown in the image.	Utilice una llave hexagonal para retirar los tres tornillos que se muestran en la imagen.	À l’aide de la clé hexagonale, retirez les trois vis indiquées dans l’image.	Rimuovere le tre viti mostrate nell'immagine con una chiave esagonale.	С помощью шестигранного ключа открутите три винта, как показано на рисунке.	Entfernen Sie die drei im Bild gezeigten Schrauben mit einem Innensechskantschlüssel.	六角レンチを使用して、画像に示されている 3本のネジを取り外します。	육각 렌치를 사용하여 그림에 표시된 세 개의 나사를 제거하세요.	Altıgen anahtar kullanarak, resimde gösterilen 3 vidayı sökün.	За допомогою шестигранного ключа відкрутіть три гвинти, як показано на малюнку.	-
229	\t	进退料	Extruder	Extrusora	Extrudeur	Estrusore	Экструдер	Extruder	エクストルーダー	압출기	Ekstruder	Екструдер	-
230	\t	进料时请根据耗材所适用的打印温度进行调整	Adjust the print temperature based on the material's recommended settings during loading.	Ajuste la temperatura de impresión según la configuración recomendada del material durante la carga.	Réglez la température d’impression en fonction des paramètres recommandés pour le matériau pendant le chargement.	Regolare la temperatura di stampa durante il caricamento in base alle impostazioni raccomandate per il materiale.	Отрегулируйте температуру печати с учетом рекомендуемых параметров для материала во время загрузки.	Passen Sie die Drucktemperatur beim Laden des Materials entsprechend den empfohlenen Einstellungen für das jeweilige Material an.	材料の推奨設定に基づいて、ロード時のプリント温度を調整します。	재료의 권장 설정에 따라 인쇄 온도를 조정하세요.	Filament türüne göre sıcaklığı ayarlayın.	Налаштуйте температуру типу філаменту.	
231	\t	手动插入耗材	Load the filament	Cargando el filamento	Chargement du filament	Carica il filamento	Заправить филамент	Einlegen des Filaments	フィラメントを装填する	필라멘트를 로드합니다	Filamenti yükleyin	Заправити філамент	-
232	\t	咬入耗材	Grab the filament	Sostenga el filamento	Prendre le filament	Tirare il filamento	Взять филамент	Halten Sie das Filament fest	フィラメントを掴む	필라멘트를 잡아주세요.	Filamenti Çekin	Взяти філамент	-
233	\t	进料完成	Load completed	Carga completada	Chargement terminé	Caricamento completato	Заправка завершена	Laden abgeschlossen	装填完了	로드 완료	Yükleme Tamamlandı	Заправку завершено	-
234	\t	切断耗材	Cut the filament	Cortar el filamento	Couper le filament	Taglia il filamento	Обрезать нить	Filament schneiden	フィラメントをカットする	필라멘트를 잘라주세요.	Filamenti Kesin	Обрізати нитку	-
235	\t	手动切断耗材	Cut the filament manually	Cortar el filamento manualmente	Couper le filament manuellement	Taglia il filamento manualmente	Обрежте нить вручную	Schneiden Sie das Filament manuell ab	フィラメントを手動で切断する	필라멘트를 수동으로 자르세요	Filamenti Manuel olarak kesin	Обрізати нитку вручну	-
236	\t	退出耗材	Unload the filament	Descargar el filamento	Décharger le filament	Scarica il filamento	Извлечь филамент	Filament entladen	フィラメントを取り出す	필라멘트 언로드	Filamenti Çıkarın	Витягнути філамент	-
237	\t	退料完成	Unload completed	Descarga completada	Déchargement complété	Scaricamento completato	Извлечение завершено	Entladen abgeschlossen	取り出し完了	언로드 완료	Çıkarma işlemi tamamlandı	Витяг завершено	-
238	\t	喷嘴温度	Nozzle temp	Temperatura de la boquilla	Température de la buse	Temperatutra ugello	Температура сопла	Düsentemperatur	ノズル温度	노즐 온도	Nozul sıcaklığı	Температура сопла	-
239	\t	切刀选项 	Filament Cutter Mode	Modo de corte de filamento	Mode de coupe du filament	Modalità di taglio filamento	Режим обрезки нити	Filament-Schneidemodus	フィラメントカッターモード	필라멘트 커터 모드	Filament Kesme Modu	Режим обрізки нитки	-
240	\t	自动切料	Auto Cutting	Corte automático	Découpe automatique	Taglio automatico	Автоматическая обрезка	Automatisches Schneiden	自動切断	자동 절단	Otomatik Kesme	Автоматична обрізка	-
241	\t	手动切料	Manual Cutting	Corte manual	Découpe manuelle	Taglio manuale	Ручная обрезка	Manuelles Schneiden	手動切断	수동 절단	Manuel Kesme	Ручна обрізка	-
242	\t	指南	Tips	Consejos	Conseils	Consigli	Совет	Tipps	ヒント	팁	İpucu	Порада	-
243	\t	自动切料	Auto Cutting	Corte automático	Découpe automatique	Taglio automatico	Автоматическая обрезка	Automatisches Schneiden	自動切断	자동 절단	Otomatik Kesme	Автоматична обрізка	-
244	\t	手动切料	Manual Cutting	Corte manual	Découpe manuelle	Taglio manuale	Ручная обрезка	Manuelles Schneiden	手動切断	수동 절단	Manuel Kesme	Ручна обрізка	-
245	\t	重试	Retry	Reintentar	Réessayer	Riprova	Повторить	Wiederholen	リトライ	재시도	Tekrar deneme	Повторити	-
246	\t	请再次确认切刀撞击块已经正确安装	Please reconfirm the correct installation of the automatic cutting block.	Vuelva a confirmar la correcta instalación del bloque de colisión.	Veuillez reconfirmer la bonne installation du bloc de collision.	Conferma nuovamente la corretta installazione del blocchetto per il taglio automatico.	Ещё раз подтвердите, что блок автообрезки установлен.	Bitte überprüfen Sie noch einmal den korrekten Einbau des Kollisionsblocks.	衝突ブロックが正しくインストールされているか、再確認してください。	자동 절단 블록이 올바르게 설치되었는지 다시 확인해 주세요.	Otomatik kesme bloğunun doğru takıldığını lütfen tekrar kontrol edin.	Ще раз підтвердьте, що блок автообрізання встановлено.	-
247	\t	请手动拨动喷头切刀，完成切料动作后，点击确认执行退料动作	Push the printhead cutter to manually cut the filament, then click “Confirm” to unload it.	Accione la cuchilla del cabezal de impresión para cortar el filamento manualmente y, a continuación, haga clic en "Confirmar" para extraerlo.	Actionnez la lame de la tête d'impression pour couper manuellement le filament, puis cliquez sur "Confirmer" pour le retirer.	Premi il sistema di taglio sulla testa per tagliare manualmente il filamento, quindi fai click su "Conferma" per scaricarlo.	Спозиционтруйте обрезчик на печатающей головке, чтобы вручную обрезать нить, затем нажмите "Подтвердить", чтобы её извлечь.	Stellen Sie das Druckkopfmesser ein, um das Filament manuell zu schneiden, und klicken Sie dann auf "Bestätigen", um es zu entladen.	プリントヘッドカッターを手動で動かしてフィラメントを切断し、完了したら「確認」をタップして取り出してください。	프린트 헤드 커터를 눌러 필라멘트를 수동으로 절단한 다음 "확인"을 클릭하여 언로드합니다.	Baskı kafası kesicisini manuel olarak hareket ettirerek filamenti kesin ve tamamlandığında “Onayla” düğmesine dokunarak çıkarın.	Спозиціонуйте обрізувач на головці, щоб вручну обрізати нитку, потім натисніть "Підтвердити", щоб витягти її.	-
248	\t	请观察喷嘴，若耗材已被挤出，点击"完成"。若未挤出请前推耗材后点击"重试"。	Click "Completed" if the filament is extruded. If not, please push forward and click "Retry".	Haga clic en "Completado" si se ha extruido el filamento. Si no es así, empújelo hacia delante y haga clic en "Reintentar".	Cliquez sur "Terminé" si le filament est extrudé. Si ce n'est pas le cas, poussez le vers l'avant et cliquez sur "Réessayer".	Fai click su "Completato" se il filamento è stato estruso. Altrimenti spingi il filamento e fai click su "Riprova"	Нажмите "Готово", если филамент подаётся.Если нет, то протолкните нить и нажмите "Повторить".	Klicken Sie auf "Abgeschlossen", wenn das Filament extrudiert wurde. Wenn nicht, drücken Sie bitte nach vorne und klicken Sie auf "Wiederholen".	ノズルを確認し、フィラメントが押し出されていれば「完了」を、押し出されていなければフィラメントを押し出して「リトライ」をタップしてください。	필라멘트가 압출되면 "완료"를 클릭하세요. 그렇지 않으면 앞으로 밀어서 "다시 시도"를 클릭하세요.	Filament ekstrüde edildiğinde “Tamamlandı” seçeneğine tıklayın. Ekstrüde edilmediyse, ileri doğru bastırın ve “Tekrar dene” seçeneğine tıklayın.	Натисніть "Готово", якщо філамент подається. Якщо ні, то проштовхніть нитку та натисніть "Повторити".	-
249	\t	检测到喷头经过切料范围的不可打印区域。	Nozzle detected passing through a non-printable area.	Se ha detectado que la boquilla pasa por un área no imprimible.	Détection de la buse traversant une zone non imprimable.	È stato rilevato un ugello che passa attraverso un'area non stampabile.	Обнаружен проход сопла через непечатаемую область.	Düse bewegt sich durch einen nicht druckbaren Bereich.	ノズルが印刷不可能なエリアを通過したことを検知しました。	노즐이 인쇄할 수 없는 영역을 통과하는 것이 감지되었습니다.	Nozulun yazdırılamaz bir alandan geçtiği tespit edildi.	Виявлено прохід сопла через недруковану область.	-
250	\t	安装切刀撞击块后，请选择自动切料，热床边缘对应切料范围为不可打印区域；如需拆卸撞击块，请切换为手动切料，在进行退料时，需先手动拨动喷头切刀切断耗材。	Install the automatic cutting block and choose “Auto Cutting”. The cutting range along the edges of the heated bed represents the non-printable area. If you need to remove the impact block, switch to “Manual Cutting”. To upload the filament, manually push the printhead cutter to cut the filament.	Instale el bloque de colisión y elija "Corte automático". El área de corte a lo largo de los bordes de la plataforma calentada representa el área no imprimible. Si necesita retirar el bloque de impacto, cambie a "Corte manual". Para cargar el filamento, mueve/ajusta manualmente la cuchilla del cabezal de impresión para cortar el filamento.	Installez le bloc de collision et choisissez "Découpe automatique". La zone de découpe le long des bords de la plate-forme de chauffe représente la zone non imprimable. Si vous devez retirer le bloc de collision, passez à "Coupe manuelle". Pour charger le filament, déplacez/ajustez manuellement la lame de la tête d'impression pour couper le filament.	Posiziona il blocco per il taglio automatico e scegli "Taglio automatico". La zona di taglio delineata ai bordi del piatto riscaldato non sarà utilizzabile. Se vuoi rimuovere il blocco devi cambiare la modalità in "Taglio manuale": premi manualmente il sistema di taglio per tagliare il filamento prima di caricarlo.	Установите узел автообрезки и выберите "Автоматическая обрезка".Место обрезки это непечатаемая область вдоль края печатной платформы. Если нужно удалить блок автообрезки, переключитесь на ручной режим. Для заправки нити вручную обрезайте её обрезчиком на печатающей головке.	Installieren Sie den Kollisionsblock und wählen Sie "Automatisches Schneiden". Der Schnittbereich entlang der Kanten des Heizbetts stellt den nicht bedruckbaren Bereich dar. Wenn Sie den Aufprallblock entfernen müssen, wechseln Sie zu "Manuelles Schneiden". Um das Filament zu laden, stellen Sie das Druckkopfmesser manuell ein, um das Filament zu schneiden.	衝突ブロックを取り付けている場合は、自動切断を選択してください。ヒートベッドの端は切断範囲でありプリントできません。衝突ブロックを取り外している場合は手動切断に切り替え、フィラメントを取り出す前にプリントヘッドカッターを使用してください。	자동 절단 블록을 설치하고 "자동 절단"을 선택합니다. 가열된 베드의 가장자리를 따라 절단 범위는 인쇄할 수 없는 영역을 나타냅니다. 임팩트 블록을 제거해야 하는 경우 "수동 절단"으로 전환합니다. 필라멘트를 업로드하려면 수동으로 프린트 헤드 커터를 밀어 필라멘트를 절단합니다.	Otomatik kesme bloğunu takın ve “Otomatik Kesme”yi seçin. Isıtmalı yatağın kenarları boyunca kesme aralığı, yazdırılamayan alanı temsil eder. Darbe bloğunu kaldırmanız gerekiyorsa, “Manuel Kesme”ye geçin. Filamenti yüklemek için, filamenti kesmek üzere baskı kafası kesicisini manuel olarak itin.	Встановіть вузол автообрізки та оберіть "Автоматичне обрізання". Якщо потрібно видалити блок автообрізання, перейдіть на ручний режим. Для заправки нитки вручну обрізайте її обрізувачем на головці.	-
251	\t	1.请检查传感器或接线 \n2.请检查电机或接线 \n	1.Please troubleshoot the sensor and wiring.2.Please troubleshoot the motor and wiring.	1.Por favor, busque un problema en el sensor y/o el cableado.2.Por favor, busque un problema en el motor y/o el cableado.	1.Veuillez rechercher la cause de la panne du capteur et/ou du câblage.2.Veuillez rechercher la cause de la panne du moteur et/ou du câblage.	1.Controlla il sensore e i cavi.2.Controlla il motore e i cavi.	1.Устраните неисправность сенсора и проводки2.Устраните неисправность двигателя и проводки.	1.Bitte überprüfen Sie den Sensor und die Verkabelung auf Fehler.2.Bitte überprüfen Sie den Motor und die Verkabelung auf Fehler.	1.センサーと配線を確認してください。2.モーターと配線を確認してください。	1. 센서와 배선의 문제를 해결하세요. 2. 모터와 배선의 문제를 해결하세요.	1. Sensör ve kablolarda sorun olup olmadığını kontrol edin. 2. Motor ve kablolarda sorun olup olmadığını kontrol edin. (cihaz kapalıyken)	1.Усуніть несправність сенсора та проводки2.Усуньте несправність двигуна та проводки.	-
252	\t	图示为设置“自动切料”状态，①为切刀撞击块，②为安装螺丝，请确认撞击块是否已经正确安装；	The above diagram is “Auto Cutting” mode. Please confirm the correct installation of the collision block (①) and fixing screw (②).	El diagrama de arriba corresponde al modo "Corte automático". Por favor, confirme la correcta instalación del bloque de colisión (①) y del tornillo (②).	Le schéma ci-dessus correspond au mode " Découpe automatique ". Veuillez confirmer l'installation correcte du bloc de collision (①) et de la vis (②).	Schema per modalità "Taglio automatico". Conferma di aver installatrto correttamente il blocco (①) e la vite di fissaggio (②).	Режим автообрезки.Подтвердите, что блок автообрезки (1) установлен и зафиксирован винтом (2).	Das obige Diagramm zeigt den Modus "Automatisches Schneiden". Bitte bestätigen Sie die korrekte Installation des Kollisionsblocks (①) und der festen Schraube (②).	図は「自動切断」モードを示しています。衝突ブロック（①）と取り付けネジ（②）が正しく取り付けられているか確認してください。	위의 다이어그램은 “자동 절단” 모드입니다. 충돌 블록(①)과 고정 나사(②)의 올바른 설치를 확인하십시오.	Yukarıdaki şema “Otomatik Kesme” modudur. Çarpışma bloğunun (①) ve sabitleme vidasının (②) doğru takıldığını lütfen kontrol edin.	Режим автообрізання. Підтвердьте, що блок автообрізки (1) встановлений та зафіксований гвинтом (2).	-
253	\t	图示为设置“手动切料”状态，该状态下无需安装切刀撞击块，请确认机器当前该部件与图示是否相符；	Diagram: “Manual Cutting” mode. No automatic cutting block is needed for this mode. Please confirm that the machine’s component corresponds to the illustration.	Diagrama: Modo "Corte Manual". Para este modo no es necesario el bloque de colisión. Confirme que el componente de la máquina corresponde a la ilustración.	Figure : Mode " découpe manuelle ". Aucun bloc de collision n'est nécessaire pour ce mode. Veuillez vérifier que les composants de la machine correspondent à l'illustration.	Schema per modalità "Taglio manuale". Non serve il blocchetto per il taglio automatico con questa modalità. Conferma che i componenti della macchina corrispondono allo schema.	Режим ручной обрезки.В данном режиме блок автообрезки не нужен. Подтвердите, что ваш принтер настроен как на картинке.	Diagramm: Modus "Manuelles Schneiden". Für diese Betriebsart wird keine Schlagleiste benötigt. Bitte vergewissern Sie sich, dass die Komponenten der Maschine mit der Abbildung übereinstimmen.	図は「手動切断」モードを示しています。このモードでは衝突ブロックは必要ありません。装置の状態が図と一致しているか確認してください。	다이어그램: “수동 절단” 모드. 이 모드에는 자동 절단 블록이 필요하지 않습니다. 기계의 구성 요소가 그림과 일치하는지 확인하십시오.	Şema: “Manuel Kesim” modu. Bu mod için otomatik kesme bloğu gerekmez. Lütfen makinenin bileşeninin şemaya uygun olduğunu kontrol edin.	Режим ручного обрізання. У цьому режимі блок автообрізання не потрібен. Підтвердьте, що ваш принтер налаштований як на зображенні.	-
254	\t	检测到喷头经过切料范围的不可打印区域，请确认切刀撞击块是否已经拆卸，可在“设置-切刀选项”中进行设置	Non-printable area detected within the cutting range of the nozzle. Please confirm if the auto-cutting block has been removed. You can set it in "Settings - Filament Cutter Mode".	Se ha detectado un área no imprimible dentro del rango de corte de la boquilla. Confirme si se ha eliminado el bloque de corte automático. Puede ajustarlo en «Ajustes - Modo de corte de filamento».	Une zone non imprimable a été détectée dans la zone de découpe de la buse. Veuillez vérifier si le bloc de coupe automatique a été retiré. Vous pouvez le régler dans « Paramètres - Mode de coupe du filament ».	È stata rilevata una zona non stampabile all'interno dell'area di taglio per il filamento. Conferma di aver rimosso il blocchetto per il taglio automatico. Puoi impostarlo su "Impostazioni - modalità di taglio filamento".	Обнаружена непечатаемая область в районе автообрезчика. Убедитесь, что автообрезчик не установлен! См. "Настройки - Режим обрезки нити"	Innerhalb des Schneidbereichs der Düse wurde ein nicht druckbarer Bereich erkannt. Bitte prüfen Sie, ob die automatische Schneidesperre entfernt wurde. Sie können dies unter "Einstellungen - Filament-Schneidmodus" einstellen.	ノズルの切断範囲内にプリント不可領域が検出されました。自動切断ブロックが取り外されているか確認してください。「設定-フィラメントカッターモード」で設定できます。	노즐의 절단 범위 내에서 인쇄할 수 없는 영역이 감지되었습니다. 자동 절단 블록이 제거되었는지 확인하십시오. "설정 - 필라멘트 커터 모드"에서 설정할 수 있습니다.	Nozul kesme aralığı içinde baskı yapılamayan alan tespit edildi. Otomatik kesme bloğunun çıkarılmış olup olmadığını kontrol edin. “Ayarlar -> Filament kesme modu”ndan ayarlayabilirsiniz.	Виявлено недруковану область у районі автообрізача. Перевірте, чи автообрізник не встановлено! "Налаштування - Режим обрізки нитки"	-
255	\t	检测到有未完成的打印任务，可点击恢复继续打印	Uncompleted print job detected, click "Resume" to continue printing.	Se ha detectado un trabajo de impresión no finalizado, haga clic en «Reanudar» para continuar con la impresión.	Une tâche d'impression incomplète a été détectée, cliquez sur « Reprendre » pour continuer l'impression.	Rilevata stampa incompleta. Fai click su "Riprendi" per continuare la stampa.	Обнаружено незавершённое задание. Нажмите "Продолжить" для продолжения печати.	Unvollendeter Druckauftrag erkannt, klicken Sie auf "Fortsetzen", um den Druck fortzusetzen.	未完了のプリントジョブが検出されました。「再開」をクリックしてプリントを続けてください。	완료되지 않은 인쇄 작업이 감지되었습니다. 인쇄를 계속하려면 "계속"을 클릭하세요.	Tamamlanmamış yazdırma işi tespit edildi, yazdırmaya devam etmek için “Devam” düğmesine tıklayın.	Виявлено незавершене завдання. Натисніть "Продовжити", щоб продовжити друк.	-
256	\t	恢复	Resume	Reanudar	Reprendre	Riprendi	Продолжить	Fortsetzen	再開	이어출력하기	Devam Et	Продовжити	-
